"subject","phase","block","trial","c1","c2","c3","c4","response"
311,1,1,1,0,1,0,1,1
311,1,1,2,-1,1,1,1,1
311,1,1,3,0,0,-1,-1,0
311,1,1,4,0,1,0,1,1
311,1,1,5,0,0,1,0,1
311,1,1,6,0,0,1,0,1
311,1,1,7,0,1,0,-1,0
311,1,1,8,-1,0,-1,1,1
311,1,1,9,-1,1,-1,0,0
311,1,1,10,1,-1,-1,0,1
311,1,1,11,-1,1,0,-1,0
311,1,1,12,0,-1,-1,0,0
311,1,1,13,1,0,1,0,1
311,1,1,14,0,1,0,-1,1
311,1,1,15,0,0,1,-1,1
311,1,1,16,0,-1,-1,1,0
311,1,1,17,-1,0,0,-1,0
311,1,1,18,0,-1,1,0,1
311,1,1,19,1,0,-1,-1,0
311,1,1,20,1,0,0,1,1
311,1,1,21,1,-1,0,-1,0
311,1,1,22,1,1,-1,0,1
311,1,1,23,-1,1,0,-1,0
311,1,1,24,0,-1,-1,1,0
311,1,1,25,0,-1,1,0,0
311,1,1,26,0,0,-1,0,0
311,1,1,27,1,-1,1,-1,0
311,1,1,28,0,0,0,1,1
311,1,1,29,0,-1,1,-1,1
311,1,1,30,0,0,-1,0,0
311,1,1,31,-1,-1,1,-1,1
311,1,1,32,0,0,-1,1,0
311,1,1,33,0,1,0,0,1
311,1,1,34,0,-1,1,-1,0
311,1,1,35,0,0,0,1,0
311,1,1,36,0,1,1,0,1
311,1,1,37,-1,-1,1,0,1
311,1,1,38,0,0,0,-1,0
311,1,1,39,-1,-1,0,1,0
311,1,1,40,1,0,0,-1,1
311,1,1,41,1,0,0,0,1
311,1,1,42,1,1,0,1,1
311,1,1,43,-1,1,0,0,0
311,1,1,44,0,1,-1,0,1
311,1,1,45,0,0,0,-1,0
311,1,1,46,-1,0,1,0,1
311,1,1,47,1,0,-1,0,1
311,1,1,48,0,1,0,-1,1
311,1,1,49,-1,0,-1,0,0
311,1,1,50,-1,0,0,-1,0
311,1,1,51,0,1,1,1,1
311,1,1,52,0,0,1,1,1
311,1,1,53,0,0,1,-1,1
311,1,1,54,-1,-1,-1,1,0
311,1,1,55,-1,0,-1,-1,0
311,1,1,56,0,1,0,0,1
311,1,1,57,0,0,0,1,0
311,1,1,58,-1,0,0,1,0
311,1,1,59,0,1,0,0,1
311,1,1,60,0,-1,0,0,0
311,1,2,1,0,1,0,0,1
311,1,2,2,1,1,-1,-1,1
311,1,2,3,0,-1,-1,0,1
311,1,2,4,-1,1,-1,-1,1
311,1,2,5,-1,1,1,0,0
311,1,2,6,-1,-1,-1,0,1
311,1,2,7,1,0,1,0,1
311,1,2,8,1,1,0,1,1
311,1,2,9,0,0,1,0,1
311,1,2,10,0,1,-1,-1,0
311,1,2,11,1,-1,1,0,0
311,1,2,12,0,0,-1,0,0
311,1,2,13,0,1,0,1,1
311,1,2,14,1,-1,0,-1,1
311,1,2,15,0,1,1,1,1
311,1,2,16,0,1,0,-1,1
311,1,2,17,1,-1,0,0,0
311,1,2,18,-1,1,0,0,0
311,1,2,19,1,0,0,0,0
311,1,2,20,0,0,0,1,1
311,1,2,21,0,1,-1,0,0
311,1,2,22,-1,0,1,1,1
311,1,2,23,-1,0,-1,0,0
311,1,2,24,1,0,0,1,1
311,1,2,25,1,1,0,0,1
311,1,2,26,-1,-1,0,0,0
311,1,2,27,1,0,-1,0,0
311,1,2,28,1,0,1,1,1
311,1,2,29,-1,0,0,0,0
311,1,2,30,0,-1,0,0,0
311,1,2,31,0,0,0,-1,0
311,1,2,32,1,0,-1,1,0
311,1,2,33,-1,0,1,0,0
311,1,2,34,1,0,1,-1,1
311,1,2,35,-1,0,0,0,0
311,1,2,36,1,0,0,0,1
311,1,2,37,-1,-1,0,0,0
311,1,2,38,-1,0,0,1,1
311,1,2,39,-1,0,0,0,0
311,1,2,40,-1,0,1,-1,0
311,1,2,41,0,0,1,0,1
311,1,2,42,0,0,-1,1,0
311,1,2,43,0,1,0,1,1
311,1,2,44,1,0,0,0,1
311,1,2,45,1,0,0,-1,0
311,1,2,46,1,1,0,0,1
311,1,2,47,0,0,-1,0,0
311,1,2,48,0,0,1,1,1
311,1,2,49,1,-1,-1,1,0
311,1,2,50,1,-1,0,0,0
311,1,2,51,1,1,1,0,1
311,1,2,52,0,0,0,-1,1
311,1,2,53,-1,-1,0,1,0
311,1,2,54,-1,0,0,0,0
311,1,2,55,0,1,-1,-1,0
311,1,2,56,0,-1,0,0,0
311,1,2,57,0,1,1,0,1
311,1,2,58,0,-1,0,0,0
311,1,2,59,0,0,-1,-1,0
311,1,2,60,1,1,1,1,1
311,1,3,1,1,0,0,0,1
311,1,3,2,1,1,0,-1,0
311,1,3,3,-1,0,-1,1,0
311,1,3,4,-1,-1,-1,-1,0
311,1,3,5,-1,0,-1,0,0
311,1,3,6,1,-1,1,0,1
311,1,3,7,-1,-1,1,0,0
311,1,3,8,1,0,1,-1,1
311,1,3,9,0,-1,-1,-1,0
311,1,3,10,0,0,1,1,1
311,1,3,11,1,0,0,0,1
311,1,3,12,-1,1,0,0,1
311,1,3,13,-1,-1,0,-1,0
311,1,3,14,0,1,1,-1,0
311,1,3,15,1,1,0,0,1
311,1,3,16,-1,0,1,0,1
311,1,3,17,1,-1,0,0,1
311,1,3,18,-1,-1,1,1,1
311,1,3,19,1,0,-1,0,0
311,1,3,20,-1,-1,0,0,0
311,1,3,21,0,-1,0,0,0
311,1,3,22,0,1,1,-1,0
311,1,3,23,-1,-1,0,0,0
311,1,3,24,-1,0,0,0,0
311,1,3,25,0,-1,0,-1,0
311,1,3,26,0,-1,0,1,0
311,1,3,27,0,1,0,0,1
311,1,3,28,0,0,0,-1,0
311,1,3,29,0,1,-1,1,1
311,1,3,30,1,-1,1,1,0
311,1,3,31,0,-1,0,-1,0
311,1,3,32,0,0,1,1,1
311,1,3,33,0,-1,1,0,0
311,1,3,34,1,0,0,1,0
311,1,3,35,-1,-1,0,-1,0
311,1,3,36,0,0,1,0,1
311,1,3,37,0,1,-1,0,0
311,1,3,38,0,-1,1,1,0
311,1,3,39,1,1,0,0,1
311,1,3,40,1,-1,-1,-1,0
311,1,3,41,0,0,-1,0,0
311,1,3,42,1,0,0,-1,0
311,1,3,43,-1,-1,-1,0,0
311,1,3,44,-1,1,1,-1,1
311,1,3,45,-1,1,0,1,1
311,1,3,46,0,0,0,-1,0
311,1,3,47,1,-1,0,1,1
311,1,3,48,-1,0,1,0,0
311,1,3,49,1,1,1,-1,1
311,1,3,50,-1,0,0,-1,0
311,1,3,51,0,-1,0,-1,0
311,1,3,52,-1,1,-1,0,1
311,1,3,53,-1,0,0,0,0
311,1,3,54,1,0,-1,1,0
311,1,3,55,1,-1,0,0,1
311,1,3,56,0,1,-1,1,1
311,1,3,57,-1,0,0,1,1
311,1,3,58,1,0,0,1,1
311,1,3,59,0,0,1,-1,0
311,1,3,60,0,0,1,0,1
311,1,4,1,0,1,0,0,0
311,1,4,2,-1,1,1,0,1
311,1,4,3,1,0,0,0,0
311,1,4,4,0,-1,0,0,0
311,1,4,5,0,-1,0,1,1
311,1,4,6,1,0,1,0,0
311,1,4,7,0,-1,0,-1,0
311,1,4,8,-1,0,1,-1,0
311,1,4,9,0,0,-1,0,1
311,1,4,10,0,0,-1,0,0
311,1,4,11,0,1,1,0,1
311,1,4,12,0,-1,-1,0,0
311,1,4,13,0,0,0,1,1
311,1,4,14,-1,0,-1,-1,0
311,1,4,15,1,-1,0,1,0
311,1,4,16,0,-1,0,0,0
311,1,4,17,0,-1,0,1,0
311,1,4,18,-1,0,0,1,0
311,1,4,19,0,-1,0,1,0
311,1,4,20,-1,1,-1,1,0
311,1,4,21,0,0,-1,0,0
311,1,4,22,0,1,0,0,1
311,1,4,23,1,0,-1,-1,0
311,1,4,24,1,1,-1,1,1
311,1,4,25,0,-1,-1,-1,0
311,1,4,26,0,0,-1,-1,0
311,1,4,27,0,0,1,0,1
311,1,4,28,0,1,0,0,1
311,1,4,29,-1,1,0,1,1
311,1,4,30,-1,0,0,-1,0
311,1,4,31,0,0,1,0,1
311,1,4,32,0,0,-1,-1,0
311,1,4,33,1,1,1,0,0
311,1,4,34,0,0,-1,1,0
311,1,4,35,-1,0,-1,0,0
311,1,4,36,0,0,0,1,1
311,1,4,37,0,0,0,1,1
311,1,4,38,-1,0,0,0,1
311,1,4,39,0,-1,1,0,0
311,1,4,40,0,0,1,-1,0
311,1,4,41,0,0,0,1,1
311,1,4,42,1,0,-1,0,1
311,1,4,43,1,0,1,1,1
311,1,4,44,1,0,0,-1,0
311,1,4,45,-1,0,0,0,1
311,1,4,46,1,-1,-1,0,0
311,1,4,47,-1,1,0,0,1
311,1,4,48,1,1,-1,0,0
311,1,4,49,1,0,0,0,1
311,1,4,50,0,1,-1,0,1
311,1,4,51,0,0,0,-1,0
311,1,4,52,0,-1,1,1,0
311,1,4,53,0,1,1,0,1
311,1,4,54,0,-1,0,0,0
311,1,4,55,0,0,0,-1,0
311,1,4,56,0,-1,-1,0,0
311,1,4,57,1,0,1,0,1
311,1,4,58,0,0,-1,1,1
311,1,4,59,-1,0,1,1,0
311,1,4,60,1,1,0,-1,1
311,2,1,1,-1,-1,-1,1,0
311,2,1,2,1,-1,-1,0,0
311,2,1,3,0,1,-1,0,1
311,2,1,4,1,0,-1,0,1
311,2,1,5,1,-1,1,0,0
311,2,1,6,0,0,1,-1,0
311,2,1,7,0,1,0,1,1
311,2,1,8,1,1,1,0,1
311,2,1,9,-1,0,-1,-1,0
311,2,1,10,-1,1,0,0,1
311,2,1,11,-1,-1,1,0,0
311,2,1,12,1,-1,1,1,0
311,2,1,13,1,0,0,0,1
311,2,1,14,-1,1,0,0,1
311,2,1,15,0,1,-1,-1,1
311,2,1,16,-1,0,1,1,0
311,2,1,17,1,0,0,0,0
311,2,1,18,-1,0,-1,1,0
311,2,1,19,1,1,-1,0,1
311,2,1,20,-1,0,-1,0,0
311,2,1,21,1,0,0,-1,1
311,2,1,22,0,0,0,1,0
311,2,1,23,0,1,0,1,1
311,2,1,24,1,1,-1,1,0
311,2,1,25,-1,-1,0,0,0
311,2,1,26,1,1,-1,-1,1
311,2,1,27,-1,1,0,0,1
311,2,1,28,1,-1,1,0,0
311,2,1,29,0,1,0,0,1
311,2,1,30,0,-1,0,0,0
311,2,1,31,0,1,0,0,1
311,2,1,32,0,0,1,1,1
311,2,1,33,0,1,-1,0,1
311,2,1,34,1,0,0,0,1
311,2,1,35,0,0,1,-1,1
311,2,1,36,0,0,0,1,0
311,2,1,37,1,0,-1,-1,1
311,2,1,38,1,1,0,1,1
311,2,1,39,-1,0,-1,1,0
311,2,1,40,-1,1,1,-1,1
311,2,1,41,0,-1,0,0,0
311,2,1,42,-1,0,-1,-1,0
311,2,1,43,0,0,1,0,1
311,2,1,44,0,0,0,1,1
311,2,1,45,1,0,0,1,0
311,2,1,46,1,0,0,-1,1
311,2,1,47,0,-1,0,0,0
311,2,1,48,0,0,1,0,1
311,2,1,49,0,1,0,1,1
311,2,1,50,-1,0,0,0,0
311,2,1,51,-1,-1,0,1,0
311,2,1,52,0,-1,-1,0,0
311,2,1,53,0,1,1,-1,1
311,2,1,54,0,0,0,1,1
311,2,1,55,0,0,-1,-1,0
311,2,1,56,-1,-1,0,0,0
311,2,1,57,0,-1,-1,-1,0
311,2,1,58,1,1,1,1,1
311,2,1,59,0,0,-1,0,0
311,2,1,60,0,0,1,0,1
311,2,2,1,-1,0,-1,0,0
311,2,2,2,0,0,-1,-1,0
311,2,2,3,0,0,1,0,1
311,2,2,4,0,-1,-1,0,0
311,2,2,5,-1,0,1,-1,0
311,2,2,6,-1,0,0,0,0
311,2,2,7,0,-1,-1,-1,0
311,2,2,8,1,1,0,0,1
311,2,2,9,0,0,1,0,1
311,2,2,10,-1,0,1,0,0
311,2,2,11,-1,0,0,-1,0
311,2,2,12,1,0,-1,0,1
311,2,2,13,1,1,0,-1,1
311,2,2,14,1,-1,-1,0,0
311,2,2,15,0,0,0,-1,1
311,2,2,16,1,0,1,0,0
311,2,2,17,0,-1,0,1,0
311,2,2,18,1,-1,-1,-1,0
311,2,2,19,0,-1,0,-1,0
311,2,2,20,-1,0,1,-1,0
311,2,2,21,1,1,0,0,1
311,2,2,22,-1,1,-1,1,1
311,2,2,23,0,1,1,0,1
311,2,2,24,1,-1,0,1,0
311,2,2,25,-1,1,0,0,0
311,2,2,26,0,0,0,-1,0
311,2,2,27,-1,1,0,1,1
311,2,2,28,0,-1,0,1,0
311,2,2,29,0,0,0,1,1
311,2,2,30,0,1,0,0,1
311,2,2,31,0,-1,-1,1,0
311,2,2,32,0,0,-1,0,1
311,2,2,33,0,-1,1,0,0
311,2,2,34,0,1,0,-1,0
311,2,2,35,1,1,0,1,1
311,2,2,36,0,1,1,0,1
311,2,2,37,0,-1,1,-1,0
311,2,2,38,0,0,1,0,1
311,2,2,39,0,-1,0,0,1
311,2,2,40,0,1,-1,0,0
311,2,2,41,-1,0,0,1,1
311,2,2,42,0,0,0,-1,0
311,2,2,43,0,0,-1,1,0
311,2,2,44,-1,0,0,0,0
311,2,2,45,0,-1,0,0,0
311,2,2,46,1,0,1,0,1
311,2,2,47,1,1,1,0,1
311,2,2,48,1,0,0,0,1
311,2,2,49,1,0,0,1,1
311,2,2,50,0,0,-1,-1,1
311,2,2,51,0,-1,1,1,0
311,2,2,52,-1,0,0,-1,0
311,2,2,53,-1,0,0,0,0
311,2,2,54,0,0,1,-1,0
311,2,2,55,1,0,-1,0,0
311,2,2,56,0,1,0,-1,1
311,2,2,57,1,-1,0,1,0
311,2,2,58,0,-1,1,-1,0
311,2,2,59,-1,0,0,1,1
311,2,2,60,1,-1,0,-1,0
313,1,1,1,-1,-1,0,1,1
313,1,1,2,0,0,-1,-1,0
313,1,1,3,0,1,1,-1,0
313,1,1,4,0,-1,-1,0,1
313,1,1,5,0,-1,1,0,1
313,1,1,6,0,1,0,0,0
313,1,1,7,-1,0,0,0,1
313,1,1,8,0,-1,-1,0,1
313,1,1,9,0,-1,0,0,1
313,1,1,10,0,1,1,1,0
313,1,1,11,1,1,0,0,1
313,1,1,12,-1,-1,1,1,1
313,1,1,13,1,0,0,-1,0
313,1,1,14,-1,0,-1,1,1
313,1,1,15,0,0,0,1,0
313,1,1,16,0,-1,1,1,1
313,1,1,17,0,1,0,0,0
313,1,1,18,1,-1,0,-1,0
313,1,1,19,0,0,1,1,1
313,1,1,20,-1,0,1,-1,0
313,1,1,21,1,-1,0,0,1
313,1,1,22,0,-1,0,1,0
313,1,1,23,1,1,0,-1,1
313,1,1,24,-1,-1,1,-1,0
313,1,1,25,0,0,1,0,0
313,1,1,26,-1,-1,1,0,0
313,1,1,27,1,-1,-1,1,0
313,1,1,28,0,0,0,-1,0
313,1,1,29,1,0,1,1,0
313,1,1,30,1,0,0,0,0
313,1,1,31,0,0,1,1,1
313,1,1,32,1,0,0,1,0
313,1,1,33,1,0,-1,0,1
313,1,1,34,1,1,1,1,0
313,1,1,35,0,-1,0,0,0
313,1,1,36,-1,1,-1,0,1
313,1,1,37,-1,-1,0,0,0
313,1,1,38,1,0,-1,0,0
313,1,1,39,-1,1,0,1,1
313,1,1,40,0,0,0,1,1
313,1,1,41,0,0,-1,0,0
313,1,1,42,1,-1,-1,-1,1
313,1,1,43,1,0,1,0,0
313,1,1,44,-1,0,0,0,0
313,1,1,45,1,1,1,-1,1
313,1,1,46,-1,0,0,-1,1
313,1,1,47,0,1,0,1,1
313,1,1,48,1,0,1,1,1
313,1,1,49,1,0,0,0,1
313,1,1,50,1,1,0,0,0
313,1,1,51,0,0,-1,1,1
313,1,1,52,-1,1,0,-1,0
313,1,1,53,0,-1,-1,1,1
313,1,1,54,-1,-1,1,0,0
313,1,1,55,0,0,-1,0,1
313,1,1,56,-1,0,0,-1,1
313,1,1,57,1,0,1,0,0
313,1,1,58,0,0,-1,-1,0
313,1,1,59,1,0,0,0,0
313,1,1,60,0,0,1,-1,1
313,1,2,1,1,0,1,0,0
313,1,2,2,1,0,1,0,1
313,1,2,3,-1,0,1,-1,1
313,1,2,4,0,1,-1,1,0
313,1,2,5,0,0,-1,0,1
313,1,2,6,1,1,1,0,0
313,1,2,7,0,0,-1,0,0
313,1,2,8,0,0,0,-1,0
313,1,2,9,1,0,0,1,1
313,1,2,10,0,0,1,0,1
313,1,2,11,0,0,1,-1,0
313,1,2,12,0,0,0,1,1
313,1,2,13,0,1,1,0,0
313,1,2,14,0,1,0,1,1
313,1,2,15,0,0,0,1,0
313,1,2,16,1,-1,-1,0,1
313,1,2,17,-1,1,0,0,0
313,1,2,18,0,1,-1,0,1
313,1,2,19,0,-1,-1,-1,0
313,1,2,20,1,-1,-1,0,1
313,1,2,21,0,0,0,-1,0
313,1,2,22,-1,0,-1,1,0
313,1,2,23,1,-1,0,1,0
313,1,2,24,0,-1,0,0,0
313,1,2,25,1,0,-1,-1,0
313,1,2,26,-1,-1,0,-1,1
313,1,2,27,0,-1,1,0,0
313,1,2,28,1,0,-1,-1,1
313,1,2,29,0,1,0,0,1
313,1,2,30,0,-1,0,1,0
313,1,2,31,0,0,0,-1,0
313,1,2,32,-1,1,-1,0,1
313,1,2,33,0,-1,0,0,0
313,1,2,34,-1,1,0,0,1
313,1,2,35,0,1,0,-1,1
313,1,2,36,1,1,0,1,0
313,1,2,37,-1,0,0,0,1
313,1,2,38,0,-1,0,-1,1
313,1,2,39,0,0,1,0,1
313,1,2,40,0,1,-1,0,1
313,1,2,41,1,0,0,0,1
313,1,2,42,0,1,0,0,1
313,1,2,43,0,1,0,-1,0
313,1,2,44,1,0,-1,0,1
313,1,2,45,0,1,1,0,1
313,1,2,46,-1,-1,0,0,0
313,1,2,47,1,0,0,-1,1
313,1,2,48,0,0,1,0,1
313,1,2,49,0,-1,0,-1,0
313,1,2,50,-1,1,-1,1,1
313,1,2,51,0,1,-1,-1,1
313,1,2,52,-1,0,0,1,0
313,1,2,53,1,-1,0,0,0
313,1,2,54,1,1,1,0,1
313,1,2,55,-1,0,0,1,0
313,1,2,56,1,0,-1,0,1
313,1,2,57,-1,1,-1,-1,0
313,1,2,58,-1,0,0,0,0
313,1,2,59,0,0,-1,1,0
313,1,2,60,0,-1,1,-1,0
313,1,3,1,0,-1,0,0,0
313,1,3,2,1,-1,1,-1,0
313,1,3,3,-1,1,0,0,1
313,1,3,4,0,0,0,1,1
313,1,3,5,-1,0,-1,-1,0
313,1,3,6,-1,-1,-1,0,0
313,1,3,7,0,1,1,0,1
313,1,3,8,-1,0,0,-1,0
313,1,3,9,0,-1,-1,0,0
313,1,3,10,0,0,0,-1,1
313,1,3,11,-1,0,0,1,1
313,1,3,12,-1,1,0,0,0
313,1,3,13,-1,-1,-1,0,0
313,1,3,14,0,1,1,0,1
313,1,3,15,1,-1,1,1,0
313,1,3,16,1,1,0,1,1
313,1,3,17,0,1,0,0,1
313,1,3,18,0,1,0,0,1
313,1,3,19,1,-1,0,0,0
313,1,3,20,-1,-1,-1,1,1
313,1,3,21,1,1,0,0,1
313,1,3,22,1,0,0,-1,0
313,1,3,23,0,1,-1,0,1
313,1,3,24,0,-1,-1,-1,0
313,1,3,25,0,0,1,1,0
313,1,3,26,0,0,1,0,1
313,1,3,27,1,0,1,-1,0
313,1,3,28,1,1,-1,0,1
313,1,3,29,0,-1,-1,1,0
313,1,3,30,0,-1,0,0,0
313,1,3,31,-1,0,1,1,0
313,1,3,32,1,0,0,1,1
313,1,3,33,-1,0,1,0,0
313,1,3,34,0,0,-1,-1,1
313,1,3,35,1,0,0,0,1
313,1,3,36,0,0,1,-1,1
313,1,3,37,1,-1,0,1,0
313,1,3,38,0,1,-1,-1,1
313,1,3,39,0,0,-1,1,1
313,1,3,40,-1,-1,0,-1,0
313,1,3,41,0,0,0,1,1
313,1,3,42,1,1,-1,0,1
313,1,3,43,-1,1,0,1,1
313,1,3,44,-1,-1,0,0,0
313,1,3,45,-1,0,-1,0,0
313,1,3,46,0,0,-1,0,1
313,1,3,47,0,0,-1,0,0
313,1,3,48,0,1,1,-1,1
313,1,3,49,0,1,0,-1,1
313,1,3,50,0,0,0,1,0
313,1,3,51,-1,0,1,0,1
313,1,3,52,0,0,1,1,1
313,1,3,53,1,1,-1,1,1
313,1,3,54,0,1,0,0,1
313,1,3,55,1,0,0,1,1
313,1,3,56,-1,0,-1,0,1
313,1,3,57,1,1,0,-1,1
313,1,3,58,1,0,-1,1,0
313,1,3,59,0,1,1,1,1
313,1,3,60,0,0,-1,0,0
313,1,4,1,1,1,0,0,1
313,1,4,2,0,-1,1,1,0
313,1,4,3,0,1,0,-1,1
313,1,4,4,1,-1,1,0,1
313,1,4,5,-1,0,0,-1,0
313,1,4,6,1,0,0,0,1
313,1,4,7,0,0,-1,0,0
313,1,4,8,-1,0,0,1,1
313,1,4,9,0,1,0,1,0
313,1,4,10,1,0,0,-1,1
313,1,4,11,-1,1,1,-1,0
313,1,4,12,-1,1,1,1,1
313,1,4,13,-1,0,0,0,0
313,1,4,14,0,-1,0,-1,0
313,1,4,15,1,1,-1,-1,1
313,1,4,16,0,0,1,0,1
313,1,4,17,0,0,1,0,1
313,1,4,18,-1,0,-1,-1,0
313,1,4,19,0,-1,0,1,0
313,1,4,20,0,-1,1,0,0
313,1,4,21,0,0,0,-1,1
313,1,4,22,-1,0,0,0,0
313,1,4,23,-1,0,1,1,0
313,1,4,24,1,0,0,0,0
313,1,4,25,1,-1,0,0,1
313,1,4,26,0,-1,0,-1,0
313,1,4,27,1,0,1,-1,1
313,1,4,28,1,-1,0,-1,0
313,1,4,29,0,-1,0,0,1
313,1,4,30,-1,1,1,0,0
313,1,4,31,0,-1,0,1,0
313,1,4,32,1,-1,1,0,0
313,1,4,33,0,-1,-1,0,0
313,1,4,34,0,-1,0,0,0
313,1,4,35,0,0,0,-1,1
313,1,4,36,-1,-1,0,0,0
313,1,4,37,1,0,-1,1,1
313,1,4,38,0,1,-1,1,1
313,1,4,39,-1,0,1,0,0
313,1,4,40,0,1,0,1,1
313,1,4,41,0,0,-1,-1,1
313,1,4,42,0,0,0,-1,1
313,1,4,43,-1,0,1,0,0
313,1,4,44,-1,0,-1,0,0
313,1,4,45,-1,1,0,-1,0
313,1,4,46,0,-1,1,0,0
313,1,4,47,-1,-1,-1,-1,0
313,1,4,48,0,1,-1,0,1
313,1,4,49,-1,0,0,0,0
313,1,4,50,0,0,1,-1,0
313,1,4,51,0,0,0,1,0
313,1,4,52,-1,-1,0,1,0
313,1,4,53,-1,0,-1,0,0
313,1,4,54,1,0,0,0,0
313,1,4,55,-1,0,0,0,0
313,1,4,56,0,0,1,0,0
313,1,4,57,0,0,-1,1,1
313,1,4,58,0,1,0,0,1
313,1,4,59,-1,1,1,0,0
313,1,4,60,0,-1,1,-1,0
313,2,1,1,0,0,0,1,1
313,2,1,2,1,1,0,0,1
313,2,1,3,-1,1,0,0,1
313,2,1,4,-1,-1,0,1,0
313,2,1,5,0,0,-1,0,1
313,2,1,6,0,1,0,1,1
313,2,1,7,0,-1,0,0,0
313,2,1,8,0,0,-1,0,1
313,2,1,9,0,1,-1,0,0
313,2,1,10,0,0,1,0,0
313,2,1,11,-1,0,1,1,0
313,2,1,12,0,-1,1,-1,0
313,2,1,13,-1,-1,0,0,0
313,2,1,14,1,0,-1,0,1
313,2,1,15,-1,0,0,0,0
313,2,1,16,-1,0,0,-1,0
313,2,1,17,1,0,0,1,1
313,2,1,18,0,0,1,-1,1
313,2,1,19,-1,0,-1,1,0
313,2,1,20,1,1,0,1,1
313,2,1,21,0,0,1,1,1
313,2,1,22,-1,0,0,0,0
313,2,1,23,0,0,0,-1,0
313,2,1,24,0,-1,0,1,0
313,2,1,25,0,1,0,0,1
313,2,1,26,0,-1,0,0,0
313,2,1,27,0,-1,1,0,0
313,2,1,28,1,-1,0,1,1
313,2,1,29,0,-1,-1,-1,0
313,2,1,30,-1,1,-1,0,1
313,2,1,31,-1,0,-1,0,0
313,2,1,32,1,-1,0,0,0
313,2,1,33,-1,1,-1,0,1
313,2,1,34,1,-1,0,0,0
313,2,1,35,0,-1,-1,1,0
313,2,1,36,0,-1,-1,0,0
313,2,1,37,1,0,1,0,1
313,2,1,38,0,1,0,0,1
313,2,1,39,-1,0,0,0,1
313,2,1,40,1,0,1,-1,0
313,2,1,41,1,0,1,1,1
313,2,1,42,1,1,-1,-1,1
313,2,1,43,1,0,1,1,0
313,2,1,44,0,0,1,0,1
313,2,1,45,-1,1,0,-1,1
313,2,1,46,1,0,0,0,1
313,2,1,47,-1,-1,1,-1,0
313,2,1,48,1,0,0,1,1
313,2,1,49,0,0,-1,0,0
313,2,1,50,0,-1,0,1,0
313,2,1,51,-1,0,0,0,0
313,2,1,52,1,0,-1,1,1
313,2,1,53,-1,-1,0,0,0
313,2,1,54,-1,0,1,-1,0
313,2,1,55,0,1,0,0,1
313,2,1,56,0,0,0,1,1
313,2,1,57,1,-1,-1,0,0
313,2,1,58,1,0,1,0,1
313,2,1,59,0,1,0,0,1
313,2,1,60,1,-1,-1,1,1
313,2,2,1,-1,0,0,0,0
313,2,2,2,0,0,0,-1,0
313,2,2,3,1,0,1,0,1
313,2,2,4,0,0,-1,-1,0
313,2,2,5,-1,-1,-1,1,0
313,2,2,6,-1,1,1,1,1
313,2,2,7,-1,-1,-1,0,0
313,2,2,8,0,0,1,-1,0
313,2,2,9,0,0,-1,-1,0
313,2,2,10,-1,0,1,0,0
313,2,2,11,0,0,-1,1,0
313,2,2,12,-1,-1,-1,0,0
313,2,2,13,1,0,0,0,1
313,2,2,14,1,1,0,0,1
313,2,2,15,0,1,0,-1,1
313,2,2,16,0,1,-1,0,1
313,2,2,17,0,-1,-1,-1,0
313,2,2,18,-1,-1,0,1,0
313,2,2,19,-1,-1,1,0,0
313,2,2,20,0,0,1,1,1
313,2,2,21,0,-1,-1,0,0
313,2,2,22,0,1,0,1,1
313,2,2,23,0,0,1,0,0
313,2,2,24,0,0,1,0,1
313,2,2,25,0,1,1,0,1
313,2,2,26,0,0,1,0,0
313,2,2,27,0,0,-1,1,1
313,2,2,28,1,0,0,-1,1
313,2,2,29,-1,0,1,1,0
313,2,2,30,0,1,-1,-1,1
313,2,2,31,0,0,0,1,1
313,2,2,32,0,1,-1,-1,0
313,2,2,33,1,-1,1,1,0
313,2,2,34,0,1,0,0,1
313,2,2,35,0,-1,0,-1,0
313,2,2,36,-1,0,1,0,0
313,2,2,37,0,-1,0,-1,0
313,2,2,38,1,-1,1,-1,0
313,2,2,39,1,-1,0,0,0
313,2,2,40,-1,1,0,1,1
313,2,2,41,1,1,0,1,1
313,2,2,42,0,-1,-1,0,0
313,2,2,43,-1,0,0,-1,0
313,2,2,44,0,0,0,-1,0
313,2,2,45,1,0,0,0,1
313,2,2,46,0,1,-1,0,1
313,2,2,47,0,0,0,1,0
313,2,2,48,0,-1,0,1,0
313,2,2,49,1,0,0,-1,1
313,2,2,50,0,1,1,-1,1
313,2,2,51,1,0,-1,0,1
313,2,2,52,1,1,-1,0,1
313,2,2,53,0,-1,1,-1,0
313,2,2,54,-1,1,0,1,1
313,2,2,55,1,0,0,-1,1
313,2,2,56,1,0,0,-1,1
313,2,2,57,1,1,1,1,1
313,2,2,58,0,1,0,0,1
313,2,2,59,0,0,0,-1,0
313,2,2,60,-1,1,1,0,1
314,1,1,1,0,0,1,-1,0
314,1,1,2,0,0,1,-1,1
314,1,1,3,1,0,0,-1,0
314,1,1,4,0,0,-1,0,1
314,1,1,5,0,0,1,1,0
314,1,1,6,1,-1,-1,0,1
314,1,1,7,-1,1,0,1,1
314,1,1,8,0,0,-1,0,1
314,1,1,9,1,-1,-1,0,1
314,1,1,10,0,0,0,-1,1
314,1,1,11,0,0,-1,1,1
314,1,1,12,0,1,0,1,0
314,1,1,13,1,0,-1,-1,1
